close_width_processed_px,pred_measure_window_original_px,n,accuracy,macro_f1,normal_f1,correct,wrong,boundary_n_pm001,boundary_accuracy_pm001,boundary_wrong_pm001,tmh_mae_px,tmh_mae_mm,meniscus_dice
1,7,508,0.8740157480314961,0.8603310186206142,0.753968253968254,444,64,86,0.5465116279069767,39,1.671259842519685,0.019433253982787033,0.8768723120493545
1,9,508,0.8799212598425197,0.8675968407055267,0.7686274509803923,447,61,86,0.5465116279069767,39,1.6515748031496063,0.01920435817615821,0.8768723120493545
1,11,508,0.8818897637795275,0.8699834553386573,0.7734375000000001,448,60,86,0.5465116279069767,39,1.6535433070866141,0.019227247756821095,0.8768723120493545
1,13,508,0.8818897637795275,0.8699834553386573,0.7734375000000001,448,60,86,0.5465116279069767,39,1.6633858267716535,0.019341695660135504,0.8768723120493545
1,15,508,0.8818897637795275,0.8699834553386573,0.7734375000000001,448,60,86,0.5465116279069767,39,1.6456692913385826,0.019135689434169566,0.8768723120493545
3,7,508,0.8740157480314961,0.8603310186206142,0.753968253968254,444,64,86,0.5465116279069767,39,1.671259842519685,0.019433253982787033,0.8768723120493545
3,9,508,0.8799212598425197,0.8675968407055267,0.7686274509803923,447,61,86,0.5465116279069767,39,1.6515748031496063,0.01920435817615821,0.8768723120493545
3,11,508,0.8818897637795275,0.8699834553386573,0.7734375000000001,448,60,86,0.5465116279069767,39,1.6535433070866141,0.019227247756821095,0.8768723120493545
3,13,508,0.8818897637795275,0.8699834553386573,0.7734375000000001,448,60,86,0.5465116279069767,39,1.6633858267716535,0.019341695660135504,0.8768723120493545
3,15,508,0.8818897637795275,0.8699834553386573,0.7734375000000001,448,60,86,0.5465116279069767,39,1.6456692913385826,0.019135689434169566,0.8768723120493545
5,7,508,0.8740157480314961,0.8603310186206142,0.753968253968254,444,64,86,0.5465116279069767,39,1.671259842519685,0.019433253982787033,0.8768602356362929
5,9,508,0.8799212598425197,0.8675968407055267,0.7686274509803923,447,61,86,0.5465116279069767,39,1.6515748031496063,0.01920435817615821,0.8768602356362929
5,11,508,0.8818897637795275,0.8699834553386573,0.7734375000000001,448,60,86,0.5465116279069767,39,1.6535433070866141,0.019227247756821095,0.8768602356362929
5,13,508,0.8818897637795275,0.8699834553386573,0.7734375000000001,448,60,86,0.5465116279069767,39,1.6633858267716535,0.019341695660135504,0.8768602356362929
5,15,508,0.8818897637795275,0.8699834553386573,0.7734375000000001,448,60,86,0.5465116279069767,39,1.6456692913385826,0.019135689434169566,0.8768602356362929
7,7,508,0.8740157480314961,0.8603310186206142,0.753968253968254,444,64,86,0.5465116279069767,39,1.6751968503937007,0.019479033144112798,0.8768089475290488
7,9,508,0.8799212598425197,0.8675968407055267,0.7686274509803923,447,61,86,0.5465116279069767,39,1.655511811023622,0.019250137337483975,0.8768089475290488
7,11,508,0.8818897637795275,0.8699834553386573,0.7734375000000001,448,60,86,0.5465116279069767,39,1.6535433070866141,0.019227247756821095,0.8768089475290488
7,13,508,0.8818897637795275,0.8699834553386573,0.7734375000000001,448,60,86,0.5465116279069767,39,1.6633858267716535,0.019341695660135504,0.8768089475290488
7,15,508,0.8838582677165354,0.8719763786273317,0.7764705882352941,449,59,86,0.5581395348837209,38,1.6456692913385826,0.019135689434169566,0.8768089475290488
9,7,508,0.8740157480314961,0.8603310186206142,0.753968253968254,444,64,86,0.5465116279069767,39,1.6633858267716535,0.019341695660135504,0.8765431578643239
9,9,508,0.8799212598425197,0.8675968407055267,0.7686274509803923,447,61,86,0.5465116279069767,39,1.639763779527559,0.019067020692180917,0.8765431578643239
9,11,508,0.8818897637795275,0.8699834553386573,0.7734375000000001,448,60,86,0.5465116279069767,39,1.6377952755905512,0.019044131111518037,0.8765431578643239
9,13,508,0.8818897637795275,0.8699834553386573,0.7734375000000001,448,60,86,0.5465116279069767,39,1.6476377952755905,0.019158579014832446,0.8765431578643239
9,15,508,0.8838582677165354,0.8719763786273317,0.7764705882352941,449,59,86,0.5581395348837209,38,1.6358267716535433,0.019021241530855156,0.8765431578643239
11,7,508,0.8740157480314961,0.8608350506177418,0.7559055118110236,444,64,86,0.5581395348837209,38,1.6574803149606299,0.01927302691814686,0.8763339223531388
11,9,508,0.8799212598425197,0.8680625354523471,0.7704280155642024,447,61,86,0.5581395348837209,38,1.6338582677165354,0.018998351950192272,0.8763339223531388
11,11,508,0.8818897637795275,0.8704380665958018,0.7751937984496124,448,60,86,0.5581395348837209,38,1.6358267716535433,0.019021241530855156,0.8763339223531388
11,13,508,0.8818897637795275,0.8704380665958018,0.7751937984496124,448,60,86,0.5581395348837209,38,1.6456692913385826,0.019135689434169566,0.8763339223531388
11,15,508,0.8838582677165354,0.8724253999000132,0.7782101167315175,449,59,86,0.5697674418604651,37,1.6338582677165354,0.018998351950192272,0.8763339223531388
15,7,508,0.8720472440944882,0.858925196094698,0.7529411764705881,443,65,86,0.5581395348837209,38,1.641732283464567,0.0190899102728438,0.8757506661958053
15,9,508,0.8779527559055118,0.8661446855582348,0.7674418604651163,446,62,86,0.5581395348837209,38,1.6220472440944882,0.01886101446621498,0.8757506661958053
15,11,508,0.8799212598425197,0.8685175779173768,0.7722007722007723,447,61,86,0.5581395348837209,38,1.624015748031496,0.018883904046877863,0.8757506661958053
15,13,508,0.8799212598425197,0.8685175779173768,0.7722007722007723,447,61,86,0.5581395348837209,38,1.6338582677165354,0.018998351950192272,0.8757506661958053
15,15,508,0.8818897637795275,0.8704971472105666,0.7751937984496124,448,60,86,0.5697674418604651,37,1.6220472440944882,0.01886101446621498,0.8757506661958053
