id,subset,split,gt_tmh_px,pred_tmh_px,tmh_abs_error_px,gt_tmh_mm,pred_tmh_mm,tmh_abs_error_mm,gt_class,pred_class,class_correct,pred_point_x,pred_point_y,gt_point_x,gt_point_y,point_error_px,nearest_threshold_mm,distance_to_threshold_mm,error_cause_estimate,review_suggestion
Colour2/Color2_000604,Colour2,test,17.0,17.0,0.0,0.19767441860465115,0.19767441860465115,0.0,低泪河高度,低泪河高度,1,692.152,284.312,691.2810508316493,281.48639825897715,2.9567850197000003,0.2,0.002325581395348858,边界附近但分类正确,保留当前处理，作为稳定样本对照
Colour2/Color2_000713,Colour2,test,17.0,17.0,0.0,0.19767441860465115,0.19767441860465115,0.0,低泪河高度,低泪河高度,1,657.3478260869565,332.15612648221344,657.5967582526191,327.3218027278118,4.840728600683298,0.2,0.002325581395348858,边界附近但分类正确,保留当前处理，作为稳定样本对照
Colour2/Color2_000378,Colour2,test,18.0,24.0,6.0,0.20930232558139536,0.27906976744186046,0.06976744186046512,正常泪河高度,较高泪河高度,0,652.105577689243,367.19123505976097,650.5,362.5,4.95838341620788,0.2,0.009302325581395349,预测高度偏高,检查泪河上缘或下缘是否被预测过厚
Colour2/Color2_000799,Colour2,test,23.0,23.0,0.0,0.26744186046511625,0.26744186046511625,0.0,正常泪河高度,正常泪河高度,1,520.5010101010101,105.33939393939394,520.4920708955224,102.26515858208955,3.074248353906235,0.27,0.0025581395348837632,边界附近但分类正确,保留当前处理，作为稳定样本对照
Colour2/Color2_000022,Colour2,test,17.0,18.0,1.0,0.19767441860465115,0.20930232558139536,0.011627906976744186,低泪河高度,正常泪河高度,0,768.7094861660079,232.6679841897233,766.5653488372093,233.88790697674418,2.4668880175314634,0.2,0.002325581395348858,1到2像素跨阈值,重点复核标注厚度和测高窗口，不建议靠大模型解决
Colour1/Color1_000210,Colour1,test,24.0,24.0,0.0,0.27906976744186046,0.27906976744186046,0.0,较高泪河高度,较高泪河高度,1,761.9962121212121,432.70075757575756,764.0,432.0,2.122787564302851,0.27,0.009069767441860443,边界附近但分类正确,保留当前处理，作为稳定样本对照
Colour1/Color1_000732,Colour1,test,17.0,17.0,0.0,0.19767441860465115,0.19767441860465115,0.0,低泪河高度,低泪河高度,1,826.6533066132265,248.1002004008016,827.0,245.0,3.119525417361261,0.2,0.002325581395348858,边界附近但分类正确,保留当前处理，作为稳定样本对照
Colour1/Color1_000261,Colour1,test,17.0,19.0,2.0,0.19767441860465115,0.22093023255813954,0.023255813953488372,低泪河高度,正常泪河高度,0,659.736328125,382.181640625,663.0,381.0,3.470998224476124,0.2,0.002325581395348858,1到2像素跨阈值,重点复核标注厚度和测高窗口，不建议靠大模型解决
Colour2/Color2_000326,Colour2,test,23.0,26.0,3.0,0.26744186046511625,0.3023255813953488,0.03488372093023256,正常泪河高度,较高泪河高度,0,626.124060150376,255.76315789473685,628.0,255.0,2.0252309230570895,0.27,0.0025581395348837632,预测高度偏高,检查泪河上缘或下缘是否被预测过厚
Colour2/Color2_000821,Colour2,test,17.0,17.0,0.0,0.19767441860465115,0.19767441860465115,0.0,低泪河高度,低泪河高度,1,591.9192913385826,263.43110236220474,591.9235645716356,261.9449375113204,1.4861709943760795,0.2,0.002325581395348858,边界附近但分类正确,保留当前处理，作为稳定样本对照
Colour2/Color2_000708,Colour2,test,18.0,13.0,5.0,0.20930232558139536,0.1511627906976744,0.05813953488372093,正常泪河高度,低泪河高度,0,764.43536121673,438.7414448669202,764.248146035368,436.9937250427838,1.7577184381497728,0.2,0.009302325581395349,预测高度偏低,检查泪河是否断裂或测量列附近是否漏检
Colour2/Color2_000670,Colour2,test,17.0,15.0,2.0,0.19767441860465115,0.1744186046511628,0.023255813953488372,低泪河高度,低泪河高度,1,759.734496124031,306.8468992248062,759.3024957778194,310.2827922687183,3.462944600817443,0.2,0.002325581395348858,边界附近但分类正确,保留当前处理，作为稳定样本对照
Colour1/Color1_000557,Colour1,test,17.0,18.0,1.0,0.19767441860465115,0.20930232558139536,0.011627906976744186,低泪河高度,正常泪河高度,0,634.4411764705883,379.89019607843136,636.0,376.0,4.190889681737078,0.2,0.002325581395348858,1到2像素跨阈值,重点复核标注厚度和测高窗口，不建议靠大模型解决
